semantic_feature,group,constant,max_abs_pearson_r,closest_raw_feature,r
sem_HighRiskJurisdictionExposure,context,0,0.21595956966659072,log_amount_paid,0.21595956966659072
beh_ExpectedBusinessCycle,behaviour,0,0.20220213817910598,pair_prior_count,-0.20220213817910598
sem_CashInstrumentSettlement,context,0,0.17731077903960132,payment_format_code,-0.17731077903960132
sem_RecentlyCreatedRelationship,context,0,0.1429644210418815,pair_prior_count,-0.1429644210418815
beh_LiquidityBalancingBehaviour,behaviour,0,0.13835276779341574,same_bank,0.13835276779341574
beh_TransitBehaviour,behaviour,0,0.10958138705448452,from_bank_code,-0.10958138705448452
sem_FirstContact,context,0,0.09630108610732421,new_beneficiary,0.09630108610732421
sem_PassThroughAccount,context,0,0.08189856788237415,log_amount_paid,-0.08189856788237415
sem_UnexpectedLargeTransfer,context,0,0.07819381301817359,new_beneficiary,0.07819381301817359
beh_FanInCollection,behaviour,0,0.06704719790360933,new_beneficiary,0.06704719790360933
beh_CollectionBehaviour,behaviour,0,0.0560069960421841,new_beneficiary,0.0560069960421841
sem_CollectionNode,context,0,0.05338376530071322,new_beneficiary,0.05338376530071322
beh_DormantAccountActivation,behaviour,0,0.04697596136540976,minute,-0.04697596136540976
sem_LayeringChainSegment,context,0,0.026565740366215767,same_bank,0.026565740366215767
beh_ShellCompanyBehaviour,behaviour,0,0.025573632510733087,pair_prior_count,-0.025573632510733087
beh_CircularMoneyMovement,behaviour,0,0.019178887714001565,new_beneficiary,0.019178887714001565
scn_CollectThenForward,scenario,0,0.008659164519187634,to_bank_code,-0.008659164519187634
beh_RoutinePayrollBehaviour,behaviour,0,0.006764782998389381,receiving_currency_code,0.006764782998389381
sem_BookkeepingAccount,context,1,0.0,,0.0
sem_CoverageGap,context,1,0.0,,0.0
beh_FanOutDistribution,behaviour,1,0.0,,0.0
beh_SettlementHubBehaviour,behaviour,1,0.0,,0.0
beh_PassThroughBehaviour,behaviour,1,0.0,,0.0
beh_HighVelocityLayering,behaviour,1,0.0,,0.0
beh_RelationshipGrowthBehaviour,behaviour,1,0.0,,0.0
beh_PayrollOperatorBehaviour,behaviour,1,0.0,,0.0
beh_MoneyMuleBehaviour,behaviour,1,0.0,,0.0
scn_LayeringAttempt,scenario,1,0.0,,0.0
scn_DistributionRun,scenario,1,0.0,,0.0
scn_DormancyAfterOutflow,scenario,1,0.0,,0.0
